Date,Open,Source,High,Low,Adj Close,Volume
2019-09-07,10353.931641,bitcoin,10558.673828,10348.918945,10517.254883,15307366476
2019-09-08,10518.114258,bitcoin,10595.637695,10409.09082,10441.276367,13670567493
2019-09-09,10443.228516,bitcoin,10450.311523,10144.929688,10334.974609,17595943368
2019-09-10,10336.408203,bitcoin,10394.353516,10020.573242,10115.975586,14906809639
2019-09-11,10123.035156,bitcoin,10215.948242,9980.776367,10178.37207,15428063426
2019-09-12,10176.819336,bitcoin,10442.253906,10099.242188,10410.126953,15323563925
2019-09-13,10415.362305,bitcoin,10441.489258,10226.59668,10360.546875,14109864675
2019-09-14,10345.40332,bitcoin,10422.133789,10291.694336,10358.048828,13468713124
2019-09-15,10356.46582,bitcoin,10387.035156,10313.092773,10347.712891,12043433567
2019-09-16,10347.222656,bitcoin,10386.867188,10189.744141,10276.793945,15160167779
2019-09-17,10281.513672,bitcoin,10296.771484,10199.739258,10241.272461,15304603363
2019-09-18,10247.795898,bitcoin,10275.928711,10191.469727,10198.248047,16169268880
2019-09-19,10200.496094,bitcoin,10295.668945,9851.692383,10266.415039,19937691247
2019-09-20,10266.318359,bitcoin,10285.87207,10132.186523,10181.641602,14734189639
2019-09-21,10183.648438,bitcoin,10188.097656,10000.708008,10019.716797,13425266806
2019-09-22,10024.115234,bitcoin,10074.444336,9922.533203,10070.392578,13199651698
2019-09-23,10067.962891,bitcoin,10074.238281,9727.143555,9729.324219,15144925408
2019-09-24,9729.321289,bitcoin,9804.317383,8370.801758,8620.566406,25002886689
2019-09-25,8603.428711,bitcoin,8744.828125,8325.396484,8486.993164,21744728353
2019-09-26,8487.669922,bitcoin,8515.685547,7895.629395,8118.967773,19258205289
2019-09-27,8113.101074,bitcoin,8271.520508,7965.922852,8251.845703,16408941156
2019-09-28,8251.273438,bitcoin,8285.617188,8125.431641,8245.915039,14141152736
2019-09-29,8246.037109,bitcoin,8261.707031,7990.49707,8104.185547,13034629109
2019-09-30,8104.226563,bitcoin,8314.231445,7830.758789,8293.868164,17115474183
2019-10-01,8299.720703,bitcoin,8497.692383,8232.679688,8343.276367,15305343413
2019-10-02,8344.212891,bitcoin,8393.041992,8227.695313,8393.041992,13125712443
